old	new	confidence	reason	def_file
func_80B55AC4	EnZl3_SetupAction8	HIGH	changes to gZelda2Anime2Anim_00499C and sets action = 8	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55B04	EnZl3_ChangeAnimOnAnimDone4	GUESS	called from EnZl3_Action8 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_004408	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55B38	EnZl3_SetupAction9	HIGH	changes to gZelda2Anime2Anim_006508 and sets action = 9	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55B78	EnZl3_ChangeAnimOnAnimDone5	GUESS	called from EnZl3_Action9 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_0061C4	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55BAC	EnZl3_SetupAction10	HIGH	changes to gZelda2Anime2Anim_005248, sets the lunge target, plays the pain cry, mouth 2 and action = 10	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55C0C	EnZl3_SetupAction11	HIGH	changes to gZelda2Anime2Anim_0054E0 and sets action = 11	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55C4C	EnZl3_SetupAction11OnAnimDone	GUESS	called from EnZl3_Action10 with the EnZl3_UpdateSkelAnime result: runs EnZl3_SetupAction11 once the animation finishes	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55C70	EnZl3_SetupAction12	HIGH	changes to gZelda2Anime2Anim_008684, sets action = 12 and drops the attention/friendly flags	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55CCC	EnZl3_ChangeAnimOnAnimDone6	GUESS	called from EnZl3_Action11 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_006F04	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55D00	EnZl3_OfferTalkInFinal2	GUESS	the action-12 body: Actor_ProcessTalkRequest moves to action 13, otherwise it offers the 0x70D5 textbox while the player is within 0x4300 of the facing direction	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55DB0	EnZl3_ReturnToAction12OnTextEnd	GUESS	on TEXT_STATE_CLOSING drops the attention flags and returns to action 12	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55E08	EnZl3_SetupAction14	HIGH	changes to gZelda2Anime2Anim_006AB0 and sets action = 14	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55E48	EnZl3_ChangeAnimOnAnimDone7	GUESS	called from EnZl3_Action13 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_008050	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55E7C	EnZl3_SetupAction15	HIGH	changes to gZelda2Anime2Anim_007A78 and sets action = 15	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55EBC	EnZl3_ChangeAnimOnAnimDone8	GUESS	called from EnZl3_Action14 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_007C84	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55EF0	EnZl3_SetupAction16	HIGH	changes to gZelda2Anime2Anim_0082F8, sets action = 16 and mouth 0	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55F38	EnZl3_ChangeAnimOnAnimDone9	GUESS	called from EnZl3_Action15 and EnZl3_Action18 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_003FF8	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B55F6C	EnZl3_OfferTalkNearGanon	GUESS	the action-16 body: offers the 0x7059 textbox only while EnZl3_FindGanon reports Ganon below a size threshold, and moves to action 0x12 when the player talks	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5604C	EnZl3_SetupAction17	HIGH	changes to gZelda2Anime2Anim_007664, sets action = 17 and plays the cry	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56090	EnZl3_SetupAction16OnAnimDone	GUESS	called from EnZl3_Action17 with the EnZl3_UpdateSkelAnime result: when the cue has not moved on, returns to action 16 on the gZelda2Anime2Anim_003FF8 animation and forces the cue to 7	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56108	EnZl3_ReturnToAction16OnTextEnd	GUESS	on TEXT_STATE_CLOSING drops the attention flags and returns to action 16	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56160	EnZl3_SetupAction19	HIGH	changes to gZelda2Anime2Anim_0001D8 and sets action = 19	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B561A0	EnZl3_SetupAction20	HIGH	changes to gZelda2Anime2Anim_001110 and sets action = 20	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B561E0	EnZl3_ChangeAnimOnAnimDone10	GUESS	called from EnZl3_Action20 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_0004F4	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56214	EnZl3_OfferTalkNearGanon2	GUESS	the action-20 twin of EnZl3_OfferTalkNearGanon: same 0x7059 textbox and Ganon size test, but moves to action 21 when the player talks	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B562F4	EnZl3_ReturnToAction20OnTextEnd	GUESS	on TEXT_STATE_CLOSING drops the attention flags and returns to action 20	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5634C	EnZl3_SetupAction22	HIGH	changes to gZelda2Anime2Anim_002348 and sets action = 22	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5638C	EnZl3_ChangeAnimOnAnimDone11	GUESS	called from EnZl3_Action22 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_00210C	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B563C0	EnZl3_SetupAction23	HIGH	changes to gZelda2Anime2Anim_002E54 and sets action = 23	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56400	EnZl3_ChangeAnimOnAnimDone12	GUESS	called from EnZl3_Action23 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_002710	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56434	EnZl3_SetupAction24	HIGH	changes to gZelda2Anime2Anim_001D8C and sets action = 24	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56474	EnZl3_ChangeAnimOnAnimDone13	GUESS	called from EnZl3_Action24 with the EnZl3_UpdateSkelAnime result: on animation end switch to gZelda2Anime2Anim_0014DC	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B564A8	EnZl3_CheckDemoModeInFinal2	HIGH	its own debug string names it: En_Zl3_inFinal2_Check_DemoMode. Dispatches the cue index to the action-7..24 setups, with the sCueDelayTimer path for cue 8	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56658	EnZl3_Action7	HIGH	sActionFuncs[7]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B566AC	EnZl3_Action8	HIGH	sActionFuncs[8]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5670C	EnZl3_Action9	HIGH	sActionFuncs[9]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5676C	EnZl3_Action10	HIGH	sActionFuncs[10]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B567CC	EnZl3_Action11	HIGH	sActionFuncs[11]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5682C	EnZl3_Action12	HIGH	sActionFuncs[12]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B568B4	EnZl3_Action13	HIGH	sActionFuncs[13]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5691C	EnZl3_Action14	HIGH	sActionFuncs[14]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5697C	EnZl3_Action15	HIGH	sActionFuncs[15]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B569E4	EnZl3_Action16	HIGH	sActionFuncs[16]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56A68	EnZl3_Action17	HIGH	sActionFuncs[17]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56AE0	EnZl3_Action18	HIGH	sActionFuncs[18]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56B54	EnZl3_Action19	HIGH	sActionFuncs[19]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56BA8	EnZl3_Action20	HIGH	sActionFuncs[20]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56C24	EnZl3_Action21	HIGH	sActionFuncs[21]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56C84	EnZl3_Action22	HIGH	sActionFuncs[22]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56CE4	EnZl3_Action23	HIGH	sActionFuncs[23]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56D44	EnZl3_Action24	HIGH	sActionFuncs[24]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56DA4	EnZl3_PlayZeldaPowerSfx	HIGH	Sfx_PlaySfxCentered2 of NA_SE_EV_ZELDA_POWER	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56DC8	EnZl3_PlayPainSfx3	HIGH	a third Sfx_PlaySfxAtPos of NA_SE_VO_Z1_PAIN, identical to EnZl3_PlayPainSfx but called from the collapse-escape logic	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56DEC	EnZl3_PlayOpenDoorSfxOnFrame9	HIGH	plays NA_SE_VO_Z1_OPENDOOR when the once-through animation reaches frame 9	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56E38	EnZl3_PlayWalkSfx	HIGH	on animation frames 0 and 6, while grounded, plays the 0x800 surface-dependent footstep from SurfaceType_GetSfx	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56EB8	EnZl3_SetSwitchFlag	HIGH	Flags_SetSwitch of the flag EnZl3_GetSwitchFlagIndex decodes from params	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56EE4	EnZl3_GetSwitchFlag	HIGH	Flags_GetSwitch of the flag EnZl3_GetSwitchFlagIndex decodes from params	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56F10	EnZl3_GetPathInfo	HIGH	its own debug string names it: En_Zl3_Get_path_info. Indexes play->setupPathList by EnZl3_GetPathIndex and caches the path and its point count	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56F8C	EnZl3_PathHasPoint	GUESS	returns whether the cached path point count exceeds the given index -- the bounds test every other path helper goes through	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B56FAC	EnZl3_GetPathPoint	HIGH	returns the indexed Vec3s of the cached path, or NULL when the path is absent or the index is past its end	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57034	EnZl3_GetYawBetweenPathPoints	HIGH	Math_FAtan2F of the xz delta between two path points, in binary angle units	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57104	EnZl3_GetYawToPathPoint	HIGH	Math_FAtan2F of the xz delta from the actor position to the indexed path point	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B571A8	EnZl3_GetYawAlongPathSegment	GUESS	the heading of the segment from the current waypoint to the next, falling back to the current shape.rot.y at the end of the path	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B571FC	EnZl3_GetYawToCurrentPathPoint	GUESS	the heading from the actor to the current waypoint, falling back to the current shape.rot.y when that waypoint does not exist	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57240	EnZl3_StepYawToCurrentPathPoint	GUESS	Math_SmoothStepToS-es world.rot.y towards EnZl3_GetYawToCurrentPathPoint and mirrors it into shape.rot.y	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57298	EnZl3_StepYawAlongPathSegment	GUESS	Math_SmoothStepToS-es world.rot.y towards EnZl3_GetYawAlongPathSegment and mirrors it into shape.rot.y	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B572F0	EnZl3_GetTextIdForScene	HIGH	returns 0x71A8, 0x71A9 or 0x71AB according to which of the two collapse scenes is loaded	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57324	EnZl3_ProcessTalkRequest	HIGH	Actor_ProcessTalkRequest normalized to 0/1	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
